Fast Pass Adjusted OD,,,,,,Jan 02,,,
,,,,,,,,,
Weekday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,57,35,118,138,453,869,727,"1,061","3,458"
MT,39,41,80,129,746,"1,324","1,108","1,999","5,465"
PL,235,137,95,130,825,"1,153",728,"1,751","5,054"
CC,140,143,130,92,484,808,551,"1,309","3,655"
16,417,602,807,452,32,198,183,499,"3,189"
24,763,"1,002","1,141",677,193,41,158,432,"4,407"
GP,710,881,841,460,183,155,24,105,"3,358"
BP,727,953,"1,657",830,345,368,79,31,"4,990"
Entries,"3,088","3,794","4,867","2,907","3,260","4,915","3,556","7,190","33,578"
,,,,,,,,,
Saturday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,20,8,36,31,186,208,95,193,777
MT,5,14,19,21,251,301,245,642,"1,499"
PL,51,27,90,58,621,943,519,"1,116","3,425"
CC,31,20,54,43,317,415,193,424,"1,496"
16,146,192,613,308,33,144,98,250,"1,783"
24,171,221,821,373,134,39,112,249,"2,120"
GP,88,124,584,151,93,88,19,46,"1,192"
BP,111,171,"1,096",260,153,184,31,21,"2,026"
Entries,622,777,"3,313","1,245","1,787","2,322","1,311","2,941","14,317"
,,,,,,,,,
Sunday,,,,,,,,,
,EM,MT,PL,CC,16,24,GP,BP,Exits
EM,27,3,26,15,128,140,57,124,518
MT,5,12,13,19,128,167,146,406,895
PL,31,12,93,51,468,682,355,780,"2,473"
CC,17,11,49,55,245,328,134,338,"1,176"
16,95,97,474,226,34,106,54,143,"1,228"
24,123,143,629,301,91,53,66,177,"1,581"
GP,57,71,450,115,57,57,17,21,844
BP,88,115,840,211,92,125,16,18,"1,503"
Entries,442,463,"2,573",991,"1,242","1,656",846,"2,006","10,219"