Avg Saturday Trip OD																																																			
																																																			
2024 / 01																																																			
	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday	Avg Weekday
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	17	38	31	19	128	23	45	28	30	10	27	20	10	5	9	5	4	4	5	3	9	7	3	6	12	69	49	134	52	46	61	12	22	13	6	3	3	1	4	6	6	30	5	1	5	7	2	3	4	8	"1,041"
EN	44	19	27	26	151	27	49	44	57	16	38	13	11	19	13	7	9	5	8	6	12	5	4	9	10	118	109	222	84	62	54	16	22	21	9	4	6	2	4	6	10	35	13	3	13	9	3	6	12	10	"1,478"
EP	36	25	10	26	170	24	31	38	39	14	16	4	9	5	3	3	4	5	5	6	5	3	2	9	7	67	55	107	54	34	25	8	5	4	2	2	4	1	2	2	1	24	8	1	9	3	0	3	4	8	929
NB	20	22	33	11	45	14	27	55	27	5	18	9	10	3	6	1	3	5	3	5	7	1	1	5	12	95	69	106	63	52	32	13	5	8	3	0	3		2	1	2	45	6	1	9	3	1	2	8	9	881
BK	144	164	180	68	76	70	74	109	106	38	66	24	38	22	28	14	34	26	12	14	24	10	9	8	29	252	175	291	159	95	65	40	17	19	8	11	18	2	9	6	7	128	34	8	59	10	3	8	43	44	"2,895"
AS	31	33	22	22	84	21	19	42	28	12	28	8	10	7	9	5	6	8	5	3	9	2	1	5	17	88	64	107	74	53	44	10	8	9	4	2	5	0	1	1	3	33	5	1	9	5	1	3	8	11	981
MA	53	41	32	27	79	23	32	54	41	12	51	22	23	19	15	7	11	7	35	19	34	11	18	18	28	147	93	199	155	123	67	19	10	10	2	3	8	4	15	2	6	36	9	3	7	7	7	16	11	14	"1,675"
19	29	55	44	58	111	48	51	39	17	10	35	22	27	23	22	13	13	15	20	22	40	25	20	49	34	213	136	265	184	154	105	48	21	27	6	4	14	5	12	7	10	35	16	4	12	13	3	9	18	20	"2,179"
12	32	52	38	32	100	31	37	10	30	6	23	26	32	29	22	12	12	15	24	17	26	12	10	27	33	189	115	270	135	98	69	26	27	23	10	1	8	5	13	8	17	49	18	1	8	7	3	9	10	13	"1,816"
LM	7	13	15	7	33	13	13	8	5	19	40	32	70	66	31	17	15	20	3	3	4	2	1	6	22	121	96	171	99	77	58	15	19	16	3	23	42	2	5	2	3	8	4	13	8	16	0	2	17	22	"1,303"
FV	34	31	13	15	55	27	46	33	26	32	22	51	73	79	54	21	19	24	5	7	8	6	5	13	44	132	112	240	143	94	72	17	20	17	4	20	51	3	8	4	5	19	7	25	7	22	2	7	30	27	"1,823"
CL	22	11	6	6	25	9	22	21	23	28	54	8	27	36	27	13	9	13	6	6	4	1	2	4	21	43	32	89	43	21	26	9	9	9	2	7	18	0	6	4	4	6	3	5	9	14	1	4	12	13	789
SL	11	14	7	11	36	12	26	26	33	62	73	35	11	41	53	27	19	15	5	5	7	2	1	7	13	106	83	174	76	23	27	11	15	15	2	12	35	1	2	4	3	12	3	17	4	15	1	11	19	16	"1,229"
BF	6	15	7	6	21	10	17	21	31	63	82	37	41	14	37	29	15	23	10	2	6	0	1	4	16	79	53	190	56	26	22	12	11	8	3	15	36	1	2	3	3	9	2	20	2	18	1	3	23	14	"1,120"
HY	9	13	5	8	24	8	17	24	26	27	49	25	58	37	11	28	39	53	7	2	4	2	3	4	12	41	29	81	36	17	12	6	8	8	4	4	24	1	3	1	3	7	1	11	3	22	2	4	34	27	878
SH	4	4	3	2	14	4	7	8	12	14	25	16	25	30	27	7	17	26	2	1	4	2	1	2	6	29	24	57	23	11	14	3	5	5	1	3	9	2	1	2	1	2	2	8	4	27	1	3	22	15	530
UC	5	10	4	2	38	3	6	15	15	20	22	9	22	20	44	14	14	26	1	3	2	1	0	3	6	48	27	78	36	15	11	5	6	7	1	4	9	1	1	1	2	9	1	7	4	29	1	2	35	27	665
FM	4	10	4	5	33	6	9	17	14	24	26	10	17	21	52	35	25	18	2	2	3	0	1	4	3	67	41	76	39	17	13	7	6	4	2	8	16		2	1	1	15	3	7	8	31	2	1	49	40	795
CN	7	6	4	3	14	7	31	21	26	3	7	5	7	5	9	2	2	2	16	29	85	63	12	30	9	82	63	100	52	20	23	10	7	12	5	0	2	8	50	5	4	40	4	1	10	3	24	37	7	4	972
PH	3	4	4	3	14	5	22	23	15	3	6	6	3	2	2	2	1	3	29	13	37	19	6	29	7	90	62	117	41	25	14	6	5	12	1	1	2	5	20	3	2	46	2	1	10	2	9	22	6	5	763
WC	12	11	7	8	28	9	39	42	30	5	12	4	6	7	3	3	2	2	106	41	15	25	12	59	5	124	67	141	59	33	21	13	13	9	5	1	4	12	41	5	7	59	4	0	10		16	26	5	4	"1,167"
LF	5	6	4	2	6	3	13	22	13	1	6	3	2	1	2	2		1	76	22	24	9	7	25	1	77	37	71	28	15	12	4	4	2	2		1	3	8	2	2	30	1		2	2	2	6	1	1	563
OR	2	3	2	2	6	2	11	21	11	1	3	2	1	2	2	1	0	0	12	5	17	7	10	18	2	76	39	65	29	11	8	4	2	3	1		1	0	2	3	2	25	1	0	4	1	2	1	1	1	419
RR	11	9	10	6	11	6	19	60	37	4	17	3	7	4	6	3	3	2	34	30	61	29	20	20	14	173	99	153	92	65	49	16	8	9	3	1	1	3	13	3	3	50	4	1	6	1	6	12	3	6	"1,200"
OW	13	9	7	14	27	17	24	35	33	18	49	21	15	17	12	4	5	3	6	6	6	2	2	18	33	291	204	472	230	170	113	25	24	18	5	4	10	1	4	6	8	48	9	3	2	2	3	5	6	5	"2,058"
EM	77	134	76	98	295	102	172	248	203	121	147	54	103	82	55	34	60	70	94	121	133	98	76	180	317	87	32	114	82	201	226	124	148	107	36	60	238	26	60	33	39	155	80	73	29	26	8	54	58	66	"5,306"
MT	72	133	74	91	236	95	146	179	169	105	128	38	97	88	38	34	36	56	69	69	81	50	41	136	234	15	45	28	43	166	219	129	228	144	47	45	113	17	50	32	40	133	64	38	16	14	5	26	47	45	"4,237"
PL	124	193	99	106	298	110	184	230	223	142	201	83	158	148	82	50	59	55	96	109	137	75	69	150	420	92	23	95	79	449	556	314	508	409	99	67	181	32	96	82	99	436	143	59	27	32	18	58	64	65	"7,678"
CC	57	96	49	80	155	82	135	171	119	101	144	55	73	54	33	30	38	44	54	52	68	38	47	121	249	93	44	76	44	174	246	126	140	213	65	27	132	10	41	59	75	150	109	49	11	16	4	27	31	48	"4,150"
16	42	55	32	44	103	72	124	138	109	59	90	29	25	23	13	10	15	19	19	22	33	18	16	74	169	184	154	492	187	24	94	123	150	165	49	10	35	5	16	35	51	106	84	13	8	8	7	16	16	20	"3,398"
24	61	56	28	40	74	55	91	112	80	55	74	22	21	20	13	16	10	9	23	13	23	9	7	52	132	198	180	619	278	82	20	106	99	130	55	7	20	3	23	36	43	69	58	7	7	4	4	12	8	14	"3,172"
GP	11	13	9	12	39	11	24	45	27	9	14	6	9	12	5	4	4	5	5	7	15	5	7	18	26	115	99	326	116	104	97	13	17	28	18	3	9	4	5	12	20	47	28	5	4	2	1	5	4	6	"1,425"
BP	14	19	4	4	15	8	11	19	26	16	18	7	11	13	4	2	4	5	6	7	7	3	2	8	23	125	116	539	130	116	97	18	10	17	34	4	11	2	9	20	30	43	26	5	4	4	2	7	5	5	"1,627"
DC	12	16	7	8	25	5	11	23	19	15	20	9	17	11	7	5	4	6	9	13	9	2	2	10	20	126	112	483	201	171	133	25	23	17	14	6	11	2	12	21	45	100	48	5	10	5	3	9	6	6	"1,871"
CM	8	8	2	3	8	3	4	7	10	3	4	2	2	2	3	1	1	2	4	2	4	2	2	5	4	37	36	127	67	45	44	17	26	14	5	1	3	1	8	4	19	46	17	2		1	0	5	1	1	614
CV	3	3	2	1	8	1	4	4	3	29	17	9	13	18	10	5	4	3	1	2	1		0	2	5	56	32	79	26	12	8	5	5	7	1	7	30		1	1	2	7	1	36	3	1	0	1	2	4	467
ED	2	5	6	4	21	7	10	15	9	38	50	21	34	38	21	10	11	17	2	1	2	2		2	13	226	109	190	86	35	21	11	12	19	4	32	34		1	2	3	50	4	11	16	5		3	15	26	"1,252"
NC	2	1	0	1	2	0	5	3	5	1	2	1	1	1	1	2	1		9	4	9	3	2	4	1	22	14	26	8	3	4	3	2	4	1	0		4	7	0	2	11	0	0	1	1	6	5	1	2	182
WP	3	6	2	2	8	2	20	9	15	3	6	3	2	2	5	3	1	2	50	25	45	7	3	15	5	49	39	115	43	17	19	7	13	11	5	0	2	6	11	4	3	38	3	1	5	3	3	7	3	2	647
SS	4	6	2	2	6	2	3	9	8	3	3	2	2	1	2	1	2	0	6	4	5	1	1	3	5	32	28	98	54	31	33	9	26	21	10	3	2	1	4	5	15	28	12	1	1	1	1	5	2	1	502
SB	10	10	1	2	11	4	6	9	13	5	5	6	4	3	2	0	2	2	10	3	5	5	1	4	9	39	35	109	75	55	43	20	38	48	20	1	1	2	7	14	9	53	7	0	1	2	2	3	1	1	712
SO	26	27	17	28	59	13	29	22	40	5	14	4	7	6	5	3	5	7	26	45	43	26	22	35	37	102	87	419	103	70	49	29	36	72	30	3	31	8	22	23	31	47	128	6	10	3	3	18	3	2	"1,880"
MB	8	13	4	8	49	6	14	15	18	5	6	2	2	5	2	2	1	2	3	3	3	3	2	3	9	50	48	148	92	66	49	26	34	51	19	1	3	0	2	10	8	232	22	1	3		1	2		0	"1,047"
WD	1	2	1	1	12	3	5	5	3	15	24	5	17	25	15	11	9	9	2	1	1				3	88	36	69	29	12	5	5	6	5	1	39	7	0	2	1	0	15	2	4	6	4	1	2	6	7	513
OA	3	7	3	7	15	7	6	4	11	9	4	5	2	2	3	1	3	5	4	5	6	1	1	2	1	18	14	27	14	3	4	4	2	4		2	12	2	3	0	1	6	0	2	2	1		4	2	2	240
WS	5	9	1	4	16	3	8	12	8	12	15	13	10	16	24	21	20	24	2	2	2	1		1	5	28	14	32	20	9	2	3	3	4	1	2	3	0	2	2	1	4	0	3	2	10	1	1	28	19	420
PC	2	2	1	1	2	1	8	7	5	1	3	2	1	2	1	1	1	3	34	9	19	1	2	5	4	7	5	18	6	10	5	3	2	2	2		0	3	6	0	2	4	1	1	1	1	1	8	1	1	200
AN	5	8	2	2	10	2	17	10	10	3	8	6	9	3	4	6	1	2	41	16	27	5	2	10	3	44	32	67	28	17	13	8	10	12	3	1	2	5	12	4	3	33	2	1	12	1	8	6	4	4	542
ML	6	13	5	9	58	7	13	19	15	16	23	13	17	23	30	21	37	51	11	8	5	3	2	3	6	62	41	85	38	14	11	6	3	7	2	4	14	1	3	2	1	11	0	6	7	36	0	1	24	23	813
BE	7	17	6	11	69	12	15	24	15	19	28	11	16	18	32	14	28	42	5	6	4	2	2	6	7	67	41	84	55	23	16	6	6	12	1	2	21	1	4	1	1	6	1	10	6	27	0	6	13	17	834
Grand Total	"1,120"	"1,466"	948	953	"2,913"	"1,030"	"1,744"	"2,148"	"1,881"	"1,229"	"1,838"	817	"1,201"	"1,125"	903	552	631	754	"1,013"	813	"1,134"	603	457	"1,226"	"2,096"	"4,774"	"3,341"	"8,435"	"3,939"	"3,258"	"3,025"	"1,490"	"1,841"	"1,805"	610	453	"1,239"	191	632	484	651	"2,625"	999	475	412	472	173	488	724	743	"73,871"