Total Trip OD																																																			
																																																			
2024 / 01																																																			
	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits	# of Exits
Exit Station Two-Letter Code	RM	EN	EP	NB	BK	AS	MA	19	12	LM	FV	CL	SL	BF	HY	SH	UC	FM	CN	PH	WC	LF	OR	RR	OW	EM	MT	PL	CC	16	24	GP	BP	DC	CM	CV	ED	NC	WP	SS	SB	SO	MB	WD	OA	WS	PC	AN	ML	BE	
RM	425	"1,800"	"1,556"	870	"5,754"	"1,216"	"1,971"	"1,521"	"1,881"	514	"1,281"	941	540	237	396	265	151	222	347	163	378	249	157	323	409	"4,436"	"3,652"	"6,085"	"3,638"	"2,413"	"2,599"	669	893	681	258	82	157	56	228	243	338	"1,043"	294	101	215	318	100	251	165	189	"52,671"
EN	"1,822"	545	"1,712"	"1,258"	"9,138"	"1,528"	"2,711"	"3,441"	"4,608"	979	"1,706"	889	785	540	625	264	397	384	421	289	419	165	196	455	520	"8,903"	"8,023"	"10,930"	"7,364"	"3,292"	"2,448"	"1,000"	996	"1,230"	290	154	254	61	195	375	396	"1,550"	763	186	533	505	71	236	377	451	"86,380"
EP	"1,651"	"1,528"	219	884	"7,677"	"1,167"	"1,620"	"2,357"	"2,636"	677	666	287	431	277	235	116	208	185	208	261	302	143	133	387	137	"5,660"	"4,912"	"4,303"	"3,657"	"1,327"	935	382	343	425	63	66	115	73	98	109	155	988	247	93	372	135	16	90	205	211	"49,372"
NB	884	"1,056"	878	266	"2,015"	648	"1,041"	"1,966"	"1,865"	463	872	395	448	218	250	63	172	208	230	161	284	81	78	194	307	"6,355"	"4,957"	"3,596"	"3,835"	"1,888"	"1,117"	446	386	244	85	31	134	32	84	70	77	"1,513"	255	32	464	171	18	62	195	240	"41,330"
BK	"6,545"	"9,449"	"7,961"	"2,310"	"1,083"	"3,814"	"3,845"	"5,462"	"5,642"	"2,368"	"3,225"	"1,508"	"1,789"	"1,443"	"1,370"	909	"1,575"	"1,419"	"1,038"	"1,020"	"1,343"	649	409	398	"1,093"	"9,376"	"7,081"	"8,309"	"6,505"	"3,488"	"2,973"	"1,714"	965	"1,094"	374	403	967	202	629	389	357	"4,509"	"1,233"	339	"1,787"	602	198	473	"1,404"	"1,826"	"124,864"
AS	"1,189"	"1,484"	"1,260"	815	"3,710"	297	982	"2,006"	"2,147"	617	"1,287"	497	537	356	376	190	230	264	280	203	240	111	64	167	375	"5,567"	"4,841"	"4,110"	"4,274"	"2,150"	"1,345"	433	410	316	99	69	166	39	102	99	144	"1,174"	252	53	370	182	67	131	300	315	"46,692"
MA	"2,306"	"2,615"	"1,423"	987	"3,854"	"1,073"	554	"2,221"	"2,587"	685	"2,296"	"1,314"	"1,282"	863	763	589	634	605	"1,826"	"1,394"	"1,660"	694	454	900	861	"9,710"	"7,665"	"7,690"	"7,694"	"4,474"	"2,663"	916	864	854	192	188	570	315	"1,477"	209	309	"1,621"	419	228	388	516	419	"1,359"	426	639	"86,245"
19	"1,700"	"3,598"	"2,307"	"2,055"	"5,049"	"2,138"	"2,290"	568	552	408	"1,439"	"1,301"	"1,965"	"1,212"	"1,228"	783	"1,257"	"1,269"	"1,775"	"1,871"	"2,262"	"1,233"	884	"1,831"	975	"12,407"	"9,670"	"9,179"	"8,542"	"4,825"	"3,211"	"1,534"	"1,259"	"1,247"	357	298	998	480	958	516	526	"1,426"	710	501	470	758	292	"1,193"	759	803	"104,869"
12	"1,993"	"4,282"	"2,526"	"1,897"	"5,024"	"2,019"	"2,478"	543	662	313	"1,482"	"1,618"	"2,627"	"2,160"	"1,784"	"1,215"	"1,853"	"1,507"	"2,176"	"2,540"	"2,433"	"1,121"	970	"1,802"	"1,109"	"11,992"	"8,551"	"10,368"	"7,951"	"3,984"	"3,155"	"1,615"	"1,725"	"1,627"	690	323	"1,522"	751	"1,674"	784	865	"1,954"	876	421	494	660	280	"1,621"	715	918	"113,650"
LM	521	920	629	498	"2,225"	636	680	349	339	353	"2,108"	"1,981"	"3,813"	"2,966"	"1,749"	"1,172"	"1,227"	"1,190"	250	159	273	97	85	216	488	"7,469"	"6,356"	"6,764"	"5,566"	"2,833"	"1,932"	785	955	756	104	"1,397"	"2,492"	150	250	109	159	406	139	"1,217"	392	979	88	327	686	735	"67,970"
FV	"1,358"	"1,586"	679	753	"3,026"	"1,362"	"2,302"	"1,623"	"1,641"	"1,862"	608	"2,713"	"3,611"	"3,481"	"2,852"	"1,391"	"1,099"	"1,275"	397	281	422	232	249	570	"1,714"	"7,726"	"7,145"	"9,781"	"8,026"	"3,963"	"3,131"	812	"1,134"	"1,106"	160	805	"1,993"	86	276	110	273	842	223	895	210	953	127	300	751	883	"88,798"
CL	"1,054"	872	247	338	"1,375"	506	"1,462"	"1,242"	"1,570"	"1,826"	"2,688"	259	"1,437"	"1,848"	"1,617"	766	667	555	381	216	165	89	67	219	"1,057"	"3,312"	"2,426"	"3,954"	"3,024"	"1,195"	"1,469"	461	509	662	98	496	"1,008"	83	368	147	162	270	229	251	341	785	149	543	452	463	"45,380"
SL	614	860	369	476	"1,788"	574	"1,452"	"1,940"	"2,972"	"3,918"	"3,819"	"1,672"	426	"1,823"	"3,030"	"1,478"	"1,304"	"1,746"	384	285	370	54	96	338	631	"7,232"	"6,956"	"7,540"	"5,420"	"1,965"	"1,455"	583	818	880	95	611	"2,157"	66	222	208	133	452	90	760	155	"1,198"	57	390	876	735	"73,473"
BF	304	438	282	243	"1,353"	344	926	"1,390"	"2,168"	"2,981"	"3,495"	"1,757"	"1,867"	463	"1,471"	"1,272"	957	"1,419"	347	91	192	34	48	190	592	"5,585"	"5,388"	"7,444"	"4,568"	"1,430"	955	475	527	539	114	637	"1,930"	30	97	158	134	379	134	937	115	"1,103"	78	114	681	545	"58,721"
HY	402	711	232	293	"1,253"	362	860	"1,393"	"1,920"	"1,610"	"2,773"	"1,592"	"3,207"	"1,586"	380	"1,276"	"2,458"	"2,905"	315	141	227	88	57	140	548	"3,429"	"2,953"	"3,329"	"2,463"	865	496	261	323	543	118	211	"1,015"	35	284	87	174	225	132	499	151	"1,600"	82	279	"1,341"	"1,154"	"48,778"
SH	225	258	115	86	890	176	552	729	"1,164"	"1,101"	"1,326"	803	"1,247"	"1,168"	"1,191"	260	957	"1,422"	139	95	132	46	13	61	219	"2,948"	"2,658"	"2,281"	"2,112"	568	687	94	245	245	32	264	528	37	82	82	41	117	53	355	132	"1,393"	25	91	769	749	"30,963"
UC	169	440	209	154	"1,572"	214	670	"1,323"	"1,941"	"1,139"	"1,209"	729	"1,391"	"1,173"	"2,541"	979	412	"1,385"	167	119	214	21	34	118	255	"4,867"	"3,645"	"3,042"	"2,488"	843	361	188	260	367	63	159	734	15	71	69	101	311	66	382	224	"1,531"	37	73	"1,483"	"1,305"	"41,263"
FM	239	455	194	235	"1,403"	278	667	"1,286"	"1,538"	"1,193"	"1,268"	559	"1,809"	"1,419"	"2,890"	"1,570"	"1,353"	525	222	94	143	11	58	136	203	"5,928"	"4,223"	"2,916"	"2,325"	738	358	180	230	296	85	341	691	12	83	34	61	475	42	302	277	"1,604"	69	137	"2,067"	"1,805"	"45,027"
CN	338	406	201	244	"1,109"	229	"1,837"	"1,781"	"2,078"	367	415	344	401	321	367	155	170	223	688	"1,294"	"3,494"	"2,265"	584	"1,239"	233	"6,231"	"5,917"	"5,020"	"4,432"	"1,285"	"1,165"	489	555	656	240	50	137	568	"2,771"	159	241	"1,465"	234	95	371	103	"1,366"	"1,989"	204	173	"56,699"
PH	162	257	248	170	"1,075"	266	"1,453"	"1,859"	"2,547"	157	288	201	228	111	143	123	98	98	"1,426"	406	"1,490"	683	338	"1,416"	241	"10,049"	"8,856"	"5,378"	"4,110"	"1,456"	669	439	407	583	93	29	80	308	932	174	208	"1,894"	134	26	472	101	444	866	124	136	"53,452"
WC	385	416	301	357	"1,394"	276	"1,778"	"2,379"	"2,585"	346	443	211	320	198	212	128	202	135	"3,855"	"1,394"	507	"1,019"	525	"1,899"	206	"11,464"	"8,874"	"5,344"	"3,954"	"1,495"	705	476	487	464	200	43	96	517	"1,856"	225	269	"2,266"	244	17	439	54	676	"1,533"	157	116	"63,442"
LF	228	195	140	120	593	137	740	"1,302"	"1,149"	101	257	62	46	39	86	50	17	15	"2,663"	802	"1,085"	258	282	"1,013"	53	"8,312"	"6,492"	"2,658"	"2,225"	726	461	170	247	115	41	5	15	111	389	53	118	"1,353"	62	4	227	64	141	249	32	48	"35,751"
OR	161	161	121	90	385	63	473	883	"1,048"	78	185	84	76	51	51	13	20	52	508	234	612	226	256	772	76	"7,388"	"5,490"	"2,356"	"1,981"	647	287	300	156	185	53	29	17	44	159	47	34	973	43	14	139	22	140	145	42	40	"27,410"
RR	395	477	421	240	465	197	"1,034"	"2,141"	"1,922"	228	580	177	384	206	165	66	144	137	"1,304"	"1,449"	"1,915"	953	854	407	363	"11,872"	"9,056"	"5,664"	"5,407"	"2,694"	"1,560"	716	592	447	83	50	85	186	624	187	156	"2,148"	139	58	230	110	223	589	122	142	"59,764"
OW	527	451	126	325	986	433	819	"1,004"	"1,263"	455	"1,742"	"1,052"	659	635	585	210	229	206	214	212	183	70	58	318	"1,023"	"17,327"	"12,278"	"13,620"	"10,030"	"5,616"	"3,397"	937	"1,204"	669	124	126	445	44	230	266	340	"1,675"	333	134	132	141	112	264	140	124	"83,493"
EM	"5,037"	"9,726"	"6,223"	"7,162"	"10,268"	"6,643"	"10,944"	"15,067"	"14,923"	"8,443"	"9,213"	"3,853"	"8,600"	"6,784"	"4,299"	"3,507"	"5,580"	"6,664"	"7,401"	"11,860"	"12,852"	"9,441"	"8,535"	"12,665"	"20,221"	"1,987"	794	"3,430"	"4,430"	"10,609"	"16,446"	"10,493"	"11,342"	"12,176"	"4,617"	"5,253"	"15,605"	"2,287"	"6,037"	"3,958"	"3,726"	"4,880"	"4,581"	"6,446"	"1,433"	"2,088"	707	"5,239"	"3,142"	"3,449"	"371,066"
MT	"4,926"	"8,516"	"5,171"	"5,517"	"7,889"	"5,793"	"9,102"	"11,317"	"10,671"	"6,867"	"7,990"	"2,990"	"7,510"	"6,675"	"3,469"	"3,092"	"4,073"	"4,465"	"6,210"	"9,098"	"8,927"	"6,505"	"5,454"	"9,211"	"14,284"	763	"1,542"	"1,058"	"2,969"	"10,525"	"17,758"	"12,232"	"16,329"	"16,030"	"5,239"	"3,992"	"10,331"	"1,716"	"5,326"	"4,665"	"4,582"	"4,925"	"5,435"	"3,991"	"1,045"	"1,786"	741	"4,227"	"2,560"	"2,741"	"318,230"
PL	"5,485"	"8,750"	"3,706"	"3,320"	"7,426"	"3,723"	"6,981"	"8,197"	"9,946"	"5,750"	"8,444"	"3,713"	"6,347"	"5,884"	"2,916"	"2,172"	"2,464"	"2,635"	"4,662"	"4,868"	"4,926"	"2,595"	"2,338"	"4,981"	"13,303"	"3,917"	"1,313"	"2,267"	"2,626"	"13,332"	"17,097"	"11,228"	"20,377"	"15,152"	"4,518"	"2,731"	"6,307"	"1,348"	"5,700"	"4,077"	"3,503"	"14,173"	"4,268"	"2,243"	"1,108"	"1,091"	"1,010"	"3,525"	"1,601"	"1,779"	"281,823"
CC	"3,715"	"6,234"	"3,210"	"3,699"	"5,272"	"4,367"	"7,243"	"7,969"	"6,955"	"4,838"	"7,655"	"2,930"	"4,645"	"3,777"	"2,279"	"1,859"	"2,158"	"2,116"	"3,788"	"3,518"	"3,493"	"2,090"	"1,977"	"4,906"	"10,294"	"3,990"	"2,803"	"2,519"	"1,678"	"6,141"	"9,894"	"7,328"	"11,045"	"10,503"	"3,982"	"2,291"	"5,025"	"1,187"	"3,130"	"3,908"	"3,765"	"5,329"	"3,846"	"1,734"	589	899	656	"3,475"	"1,230"	"1,314"	"209,248"
16	"2,310"	"2,887"	"1,137"	"1,774"	"3,275"	"2,171"	"4,340"	"4,780"	"4,106"	"2,575"	"3,657"	"1,219"	"1,788"	"1,300"	884	591	821	787	"1,238"	"1,226"	"1,329"	696	603	"2,488"	"5,584"	"10,205"	"10,477"	"14,588"	"7,069"	675	"2,887"	"4,828"	"6,828"	"6,620"	"2,506"	720	"1,485"	360	"1,729"	"1,691"	"2,081"	"3,856"	"2,354"	659	342	440	364	"1,319"	414	553	"138,616"
24	"2,431"	"2,261"	960	"1,154"	"2,883"	"1,333"	"2,802"	"3,227"	"3,104"	"1,833"	"2,788"	"1,221"	"1,403"	984	514	711	302	340	"1,095"	699	638	477	274	"1,455"	"3,925"	"14,645"	"15,425"	"19,951"	"11,118"	"2,808"	659	"4,379"	"5,162"	"4,974"	"2,353"	389	868	275	"1,331"	"1,481"	"1,702"	"2,720"	"2,019"	392	313	215	174	895	308	358	"133,728"
GP	608	860	384	468	"1,583"	409	964	"1,589"	"1,610"	649	738	358	442	437	234	97	197	187	420	356	391	185	257	703	"1,092"	"9,963"	"11,063"	"12,109"	"7,455"	"4,805"	"4,202"	396	"1,199"	"1,165"	865	159	489	82	365	593	856	"1,886"	"1,161"	186	216	99	51	572	130	134	"75,419"
BP	885	"1,057"	342	358	925	407	885	"1,134"	"1,572"	882	"1,098"	578	814	542	250	242	236	184	501	363	420	243	173	549	"1,343"	"9,759"	"11,215"	"22,555"	"10,382"	"5,835"	"4,995"	"1,065"	404	"1,456"	"1,322"	221	476	123	464	953	"1,312"	"1,624"	"1,422"	281	133	129	135	467	145	161	"93,017"
DC	785	"1,250"	415	250	"1,034"	276	839	"1,140"	"1,537"	736	"1,125"	639	800	589	501	256	346	302	589	552	441	134	183	410	782	"11,954"	"14,629"	"17,109"	"10,849"	"6,727"	"5,222"	"1,297"	"1,674"	601	615	273	795	157	604	"1,378"	"2,004"	"3,518"	"2,792"	289	190	153	169	525	285	262	"99,982"
CM	287	293	88	102	371	85	163	355	628	103	146	93	93	75	125	35	39	82	212	92	184	49	58	89	143	"4,594"	"4,684"	"5,574"	"4,094"	"2,269"	"2,165"	756	"1,206"	467	207	42	95	45	199	234	665	"1,536"	"1,042"	25	21	25	78	265	15	21	"34,314"
CV	91	120	67	37	389	80	192	363	351	"1,370"	732	509	682	655	322	273	201	293	70	38	47	11	29	44	147	"4,684"	"3,643"	"3,042"	"2,576"	741	386	146	273	316	27	198	"1,605"	11	39	58	71	196	64	"1,191"	88	187	6	51	116	124	"26,952"
ED	159	258	143	140	"1,010"	191	589	"1,126"	"1,791"	"2,121"	"2,065"	983	"2,113"	"1,719"	900	573	732	663	132	44	79	22	12	67	400	"14,159"	"10,023"	"6,951"	"5,238"	"1,567"	914	515	463	799	110	"1,569"	750	9	42	117	128	"1,785"	166	437	907	308	9	71	512	660	"66,241"
NC	57	42	68	28	207	20	345	426	719	165	70	58	97	17	27	40	13	13	458	282	415	86	56	178	48	"1,753"	"1,558"	"1,362"	"1,437"	387	330	92	143	162	46	13	10	118	348	82	113	494	33	4	123	51	302	309	17	47	"13,269"
WP	287	201	71	81	706	105	"1,608"	975	"1,753"	237	261	292	181	110	276	78	103	115	"2,801"	"1,064"	"1,996"	413	231	679	203	"4,873"	"4,763"	"6,748"	"4,694"	"1,962"	"1,332"	596	535	578	207	38	54	357	412	151	230	"1,445"	198	14	261	101	151	496	81	76	"45,180"
SS	242	424	91	71	402	92	208	513	784	114	124	112	194	175	78	70	76	39	195	156	222	39	43	174	259	"3,904"	"4,395"	"4,733"	"3,908"	"1,776"	"1,514"	648	"1,149"	"1,337"	327	68	134	72	168	208	533	918	632	57	44	47	23	287	40	11	"31,830"
SB	307	369	138	71	421	139	326	581	749	192	284	208	173	130	162	48	54	62	258	204	264	112	42	174	430	"3,657"	"4,155"	"4,262"	"3,955"	"2,077"	"1,848"	830	"1,529"	"2,125"	684	72	113	114	249	529	220	"1,993"	465	44	34	34	64	258	19	12	"35,240"
SO	930	"1,263"	755	"1,175"	"1,948"	702	"1,248"	"1,037"	"1,461"	333	660	225	315	256	136	82	165	282	"1,245"	"1,591"	"1,874"	"1,239"	974	"1,488"	"1,509"	"3,595"	"3,294"	"10,819"	"3,822"	"2,508"	"1,712"	"1,180"	"1,176"	"2,627"	"1,171"	154	"1,254"	496	"1,235"	671	"1,057"	"1,590"	"4,823"	329	326	142	167	"1,029"	131	87	"68,288"
MB	341	661	227	256	"1,218"	290	440	609	899	179	187	210	81	120	75	48	66	23	231	132	219	56	37	92	327	"4,253"	"4,730"	"4,446"	"3,477"	"2,150"	"1,744"	974	"1,642"	"2,362"	952	74	151	30	173	521	402	"8,256"	755	45	93	17	20	177	10	9	"44,487"
WD	107	203	85	38	381	94	271	536	535	"1,056"	974	240	785	970	595	374	395	309	94	20	20	12	4	56	172	"5,926"	"3,990"	"2,420"	"2,080"	698	394	218	318	294	17	"1,200"	439	5	35	59	49	481	50	206	325	154	15	24	212	276	"28,211"
OA	176	357	277	322	602	220	245	271	438	265	123	178	96	70	113	52	127	173	263	319	283	173	111	123	73	"1,141"	808	948	548	247	228	169	103	144	16	53	572	94	186	23	23	332	31	233	135	61	30	193	124	94	"11,986"
WS	355	478	131	175	587	181	580	819	705	847	985	774	"1,054"	950	"1,367"	"1,259"	"1,320"	"1,421"	108	112	44	60	18	92	176	"1,955"	"1,580"	"1,200"	986	474	255	112	154	188	16	211	254	48	84	45	43	216	6	128	109	204	71	167	"1,567"	"1,530"	"26,201"
PC	109	71	27	18	182	53	369	321	283	104	150	140	49	73	92	29	20	69	"1,501"	448	718	98	128	219	135	491	518	"1,001"	660	417	167	67	152	140	60	3	19	277	235	39	79	173	24	22	38	39	42	504	16	21	"10,610"
AN	218	258	59	60	491	124	"1,283"	"1,096"	"1,589"	296	237	462	348	137	255	83	92	130	"1,839"	791	"1,388"	229	152	511	245	"4,047"	"3,561"	"3,636"	"3,527"	"1,318"	859	572	528	517	232	47	64	339	575	278	231	"1,208"	230	16	281	158	423	375	91	112	"35,598"
ML	199	372	198	218	"1,380"	284	409	782	761	646	693	420	854	665	"1,280"	772	"1,436"	"1,927"	200	132	151	42	48	112	149	"2,814"	"2,295"	"1,797"	"1,372"	371	309	136	195	260	27	119	484	16	54	35	24	251	6	213	167	"1,715"	13	94	475	488	"27,860"
BE	217	449	185	252	"1,913"	360	698	828	941	700	888	489	745	653	"1,199"	785	"1,311"	"1,816"	156	162	146	71	52	122	167	"3,196"	"2,526"	"2,118"	"1,586"	571	346	162	191	319	23	103	670	42	80	18	26	218	12	309	186	"1,782"	25	123	497	356	"30,790"
Grand Total	"55,861"	"82,620"	"48,514"	"42,710"	"116,959"	"48,095"	"88,271"	"107,767"	"119,236"	"66,040"	"88,745"	"45,840"	"71,535"	"58,541"	"48,705"	"32,431"	"40,118"	"44,448"	"57,228"	"53,301"	"62,212"	"35,670"	"28,738"	"57,097"	"89,099"	"327,770"	"283,849"	"308,304"	"224,127"	"137,150"	"133,197"	"76,494"	"100,607"	"97,543"	"34,250"	"26,860"	"66,355"	"13,909"	"42,939"	"30,681"	"33,196"	"95,032"	"43,761"	"27,394"	"17,607"	"27,513"	"10,721"	"37,972"	"28,211"	"29,420"	"3,844,643"